TABLETYP,ICD10,Pure Victorian Logical,,,,
B,S1098,9108,,,,
B,S1101,87401,,,,
B,S1102,87402,,,,
B,S111,8742,,,,
B,S1121,8744,,,,
B,S1122,8744,,,,
B,S117,8748,,,,
B,S1180,8748,,,,
B,S1181,8748,,,,
B,S1182,8748,,,,
B,S119,8748,,,,
B,S120,80501,,,,
B,S121,80502,,,,
B,S1221,80503,,,,
B,S1222,80504,,,,
B,S1223,80505,,,,
B,S1224,80506,,,,
B,S1225,80507,,,,
B,S127,80508,,,,
B,S128,8075,,,,
B,S129,80500,,,,
B,S130,83900,,,,
B,S1310,83900,,,,
B,S1311,83901,,,,
B,S1312,83902,,,,
B,S1313,83903,,,,
B,S1314,83904,,,,
B,S1315,83905,,,,
B,S1316,83906,,,,
B,S1317,83907,,,,
B,S1318,83901,,,,
B,S132,83901,,,,
B,S133,83908,,,,
B,S134,8470,,,,
B,S135,8482,,,,
B,S136,8470,,,,
B,S140,95204,,,,
B,S1410,95200,,,,
B,S1411,95201,,,,
B,S1412,95203,,,,
B,S1413,95204,,,,
B,S142,9530,,,,
B,S143,9534,,,,
B,S144,9570,,,,
B,S145,9540,,,,
B,S146,9570,,,,
B,S1470,95200,,,,
B,S1471,95200,,,,
B,S1472,95200,,,,
B,S1473,95200,,,,
B,S1474,95200,,,,
B,S1475,95205,,,,
B,S1476,95205,,,,
B,S1477,95205,,,,
B,S1478,95205,,,,
B,S1500,90000,,,,
B,S1501,90001,,,,
B,S1502,90002,,,,
B,S1503,90003,,,,
B,S151,90089,,,,
B,S152,90081,,,,
B,S153,9001,,,,
B,S157,90082,,,,
B,S158,90089,,,,
B,S159,9009,,,,
B,S16,8470,,,,
B,S170,9252,,,,
B,S178,9252,,,,
B,S179,9252,,,,
B,S18,8749,,,,
B,S197,9590,,,,
B,S198,9590,,,,
B,S199,9590,,,,
B,S200,9220,,,,
B,S2010,9118,,,,
B,S2011,9110,,,,
B,S2012,9112,,,,
B,S2013,9114,,,,
B,S2014,9116,,,,
B,S2018,9118,,,,
B,S202,9221,,,,
B,S2030,9118,,,,
B,S2031,9110,,,,
B,S2032,9112,,,,
B,S2033,9114,,,,
B,S2034,9116,,,,
B,S2038,9118,,,,
B,S2040,9118,,,,
B,S2041,9110,,,,
B,S2042,9112,,,,
B,S2043,9114,,,,
B,S2044,9116,,,,
B,S2048,9118,,,,
B,S207,9118,,,,
B,S2080,9118,,,,
B,S2081,9110,,,,
B,S2082,9112,,,,
B,S2083,9114,,,,
B,S2084,9116,,,,
B,S2085,9221,,,,
B,S2088,9118,,,,
B,S210,8790,,,,
B,S211,8750,,,,
B,S212,8750,,,,
B,S217,8750,,,,
B,S2180,8750,,,,
B,S2181,8750,,,,
B,S2182,8750,,,,
B,S2183,8750,,,,
B,S219,8750,,,,
B,S2200,8052,,,,
B,S2201,8052,,,,
B,S2202,8052,,,,
B,S2203,8052,,,,
B,S2204,8052,,,,
B,S2205,8052,,,,
B,S2206,8052,,,,
B,S221,8052,,,,
B,S222,8072,,,,
B,S2231,80701,,,,
B,S2232,80701,,,,
B,S2240,80709,,,,
B,S2241,80709,,,,
B,S2242,80702,,,,
B,S2243,80703,,,,
B,S2244,80704,,,,
B,S225,8074,,,,
B,S228,8090,,,,
B,S229,8090,,,,
B,S230,83921,,,,
B,S2310,83921,,,,
B,S2311,83921,,,,
B,S2312,83921,,,,
B,S2313,83921,,,,
B,S2314,83921,,,,
B,S2315,83921,,,,
B,S2316,83921,,,,
B,S2317,83921,,,,
B,S232,83961,,,,
B,S233,8471,,,,
B,S234,8483,,,,
B,S235,8488,,,,
B,S240,95214,,,,
B,S2410,95210,,,,
B,S2411,95211,,,,
B,S2412,95214,,,,
B,S242,9531,,,,
B,S243,9548,,,,
B,S244,9541,,,,
B,S245,9548,,,,
B,S246,9549,,,,
B,S2470,95210,,,,
B,S2471,95210,,,,
B,S2472,95210,,,,
B,S2473,95210,,,,
B,S2474,95210,,,,
B,S2475,95215,,,,
B,S2476,95215,,,,
B,S2477,95215,,,,
B,S250,9010,,,,
B,S251,9011,,,,
B,S252,9012,,,,
B,S253,9013,,,,
B,S254,90140,,,,
B,S255,90181,,,,
B,S257,90183,,,,
B,S258,90182,,,,
B,S259,9019,,,,
B,S260,86100,,,,
B,S2681,86101,,,,
B,S2682,86102,,,,
B,S2683,86103,,,,
B,S2688,86100,,,,
B,S269,86100,,,,
B,S270,8600,,,,
B,S271,8602,,,,
B,S272,8604,,,,
B,S2731,86121,,,,
B,S2732,86122,,,,
B,S2738,86120,,,,
B,S274,86221,,,,
B,S275,86229,,,,
B,S276,86229,,,,
B,S277,8628,,,,
B,S2781,8620,,,,
B,S2782,86229,,,,
B,S2783,86222,,,,
B,S2784,86229,,,,
B,S2788,86229,,,,
B,S279,8628,,,,
B,S280,8628,,,,
B,S281,8629,,,,
B,S290,8471,,,,
B,S297,9598,,,,
B,S298,9591,,,,
B,S299,9591,,,,
B,S300,9223,,,,
B,S301,9222,,,,
B,S302,9224,,,,
B,S307,9118,,,,
B,S3080,9118,,,,
B,S3081,9110,,,,
B,S3082,9112,,,,
B,S3083,9114,,,,
B,S3084,9116,,,,
B,S3085,9222,,,,
B,S3088,9118,,,,
B,S3090,9118,,,,
B,S3091,9110,,,,
B,S3092,9112,,,,
B,S3093,9114,,,,
B,S3094,9116,,,,
B,S3095,9223,,,,
B,S3098,9118,,,,
B,S310,8760,,,,
B,S311,8792,,,,
B,S312,8780,,,,
B,S313,8782,,,,
B,S314,8784,,,,
B,S315,8788,,,,
B,S317,8796,,,,
B,S3180,8796,,,,
B,S3181,8796,,,,
B,S3182,8796,,,,
B,S3183,8796,,,,
B,S3200,8054,,,,
B,S3201,8054,,,,
B,S3202,8054,,,,
B,S3203,8054,,,,
B,S3204,8054,,,,
B,S3205,8054,,,,
B,S321,8056,,,,
B,S322,8056,,,,
B,S323,80841,,,,
B,S324,8080,,,,
B,S325,8082,,,,
B,S327,8090,,,,
B,S3281,80842,,,,
B,S3282,8054,,,,
B,S3283,8088,,,,
B,S3289,80853,,,,
B,S330,83920,,,,
B,S3310,83920,,,,
B,S3311,83920,,,,
B,S3312,83920,,,,
B,S3313,83920,,,,
B,S3314,83920,,,,
B,S3315,83920,,,,
B,S332,83942,,,,
B,S333,83949,,,,
B,S334,8485,,,,
B,S3350,8472,,,,
B,S3351,8460,,,,
B,S336,8461,,,,
B,S337,8474,,,,
B,S340,9522,,,,
B,S341,9522,,,,
B,S342,9532,,,,
B,S343,9524,,,,
B,S344,9535,,,,
B,S345,9541,,,,
B,S346,9548,,,,
B,S3470,9522,,,,
B,S3471,9522,,,,
B,S3472,9522,,,,
B,S3473,9522,,,,
B,S3474,9522,,,,
B,S3475,9522,,,,
B,S3476,9523,,,,
B,S348,9548,,,,
B,S350,9020,,,,
B,S351,90210,,,,
B,S352,90220,,,,
B,S353,90231,,,,
B,S354,90240,,,,
B,S355,90250,,,,
B,S357,90287,,,,
B,S358,90281,,,,
B,S359,9029,,,,
B,S3600,86500,,,,
B,S3601,86501,,,,
B,S3602,86502,,,,
B,S3603,86503,,,,
B,S3604,86504,,,,
B,S3608,86509,,,,
B,S3610,86400,,,,
B,S3611,86401,,,,
B,S3612,86405,,,,
B,S3613,86402,,,,
B,S3614,86403,,,,
B,S3615,86404,,,,
B,S3616,86409,,,,
B,S3617,86802,,,,
B,S3618,86802,,,,
B,S3620,86384,,,,
B,S3621,86381,,,,
B,S3622,86382,,,,
B,S3623,86383,,,,
B,S3629,86384,,,,
B,S363,8630,,,,
B,S3640,86320,,,,
B,S3641,86321,,,,
B,S3649,86329,,,,
B,S3650,86340,,,,
B,S3651,86341,,,,
B,S3652,86342,,,,
B,S3653,86343,,,,
B,S3654,86344,,,,
B,S3659,86349,,,,
B,S366,86345,,,,
B,S367,86346,,,,
B,S3681,86803,,,,
B,S3682,86389,,,,
B,S3683,86804,,,,
B,S3688,86809,,,,
B,S369,86800,,,,
B,S3700,86600,,,,
B,S3701,86601,,,,
B,S3702,86602,,,,
B,S3703,86603,,,,
B,S371,8672,,,,
B,S3720,8670,,,,
B,S3721,8670,,,,
B,S3722,8670,,,,
B,S3728,8670,,,,
B,S3730,8670,,,,
B,S3731,8670,,,,
B,S3732,8670,,,,
B,S3733,8670,,,,
B,S3738,8670,,,,
B,S374,8676,,,,
B,S375,8676,,,,
B,S376,8674,,,,
B,S377,8676,,,,
B,S3781,86801,,,,
B,S3782,8676,,,,
B,S3783,8676,,,,
B,S3784,8676,,,,
B,S3788,8676,,,,
B,S379,8678,,,,
B,S380,9260,,,,
B,S381,92611,,,,
B,S382,8780,,,,
B,S383,8796,,,,
B,S390,8485,,,,
B,S396,8676,,,,
B,S397,8690,,,,
B,S398,9591,,,,
B,S399,9591,,,,
B,S400,92300,,,,
B,S407,9128,,,,
B,S4081,9120,,,,
B,S4082,9122,,,,
B,S4083,9124,,,,
B,S4084,9126,,,,
B,S4088,9128,,,,
B,S409,9128,,,,
B,S410,88000,,,,
B,S411,88003,,,,
B,S417,88009,,,,
B,S4180,88000,,,,
B,S4181,88000,,,,
B,S4182,88000,,,,
B,S4200,81000,,,,
B,S4201,81001,,,,
B,S4202,81002,,,,
B,S4203,81003,,,,
B,S4209,81000,,,,
B,S4210,81100,,,,
B,S4211,81109,,,,
B,S4212,81101,,,,
B,S4213,81102,,,,
B,S4214,81103,,,,
B,S4219,81109,,,,
B,S4220,81200,,,,
B,S4221,81209,,,,
B,S4222,81201,,,,
B,S4223,81202,,,,
B,S4224,81203,,,,
B,S4229,81209,,,,
B,S423,81220,,,,
B,S4240,81240,,,,
B,S4241,81241,,,,
B,S4242,81242,,,,
B,S4243,81243,,,,
B,S4244,81244,,,,
B,S4245,81249,,,,
B,S4249,81249,,,,
B,S427,8180,,,,
B,S428,8180,,,,
B,S429,81200,,,,
B,S4300,83100,,,,
B,S4301,83101,,,,
B,S4302,83102,,,,
B,S4303,83103,,,,
B,S4308,83109,,,,
B,S431,83104,,,,
B,S432,83961,,,,
B,S433,83101,,,,
B,S434,8402,,,,
B,S435,8400,,,,
B,S436,84841,,,,
B,S437,8401,,,,
B,S440,9552,,,,
B,S441,9551,,,,
B,S442,9553,,,,
B,S443,9550,,,,
B,S444,9554,,,,
B,S445,9555,,,,
B,S447,9558,,,,
B,S448,9557,,,,
B,S449,9559,,,,
B,S450,90301,,,,
B,S451,9031,,,,
B,S452,90302,,,,
B,S453,9038,,,,
B,S457,9038,,,,
B,S458,9038,,,,
B,S459,9039,,,,
B,S460,8404,,,,
B,S461,8408,,,,
B,S462,8408,,,,
B,S463,8408,,,,
B,S467,8408,,,,
B,S468,8408,,,,
B,S469,8409,,,,
B,S47,92700,,,,
B,S480,8872,,,,
B,S481,8872,,,,
B,S489,8872,,,,
B,S497,9592,,,,
B,S498,9592,,,,
B,S499,9592,,,,
B,S500,92311,,,,
B,S501,92310,,,,
B,S507,9138,,,,
B,S5081,9130,,,,
B,S5082,9132,,,,
B,S5083,9134,,,,
B,S5084,9136,,,,
B,S5088,9138,,,,
B,S509,9138,,,,
B,S510,88101,,,,
B,S517,88100,,,,
B,S5180,88100,,,,
B,S5181,88100,,,,
B,S5182,88100,,,,
B,S519,88100,,,,
B,S5200,81300,,,,
B,S5201,81301,,,,
B,S5202,81302,,,,
B,S5209,81304,,,,
B,S5210,81300,,,,
B,S5211,81305,,,,
B,S5212,81306,,,,
B,S5219,81307,,,,
B,S5220,81322,,,,
B,S5221,81322,,,,
B,S5230,81321,,,,
B,S5231,81321,,,,
B,S524,81323,,,,
B,S5250,81342,,,,
B,S5251,81342,,,,
B,S5252,81342,,,,
B,S5259,81342,,,,
B,S526,81344,,,,
B,S527,8180,,,,
B,S528,81343,,,,
B,S529,81380,,,,
B,S530,83201,,,,
B,S5310,83200,,,,
B,S5311,83201,,,,
B,S5312,83202,,,,
B,S5313,83203,,,,
B,S5314,83204,,,,
B,S5318,83209,,,,
B,S532,8410,,,,
B,S533,8411,,,,
B,S5340,8419,,,,
B,S5341,8410,,,,
B,S5342,8411,,,,
B,S5343,8412,,,,
B,S5344,8413,,,,
B,S5348,8418,,,,
B,S540,9552,,,,
B,S541,9551,,,,
B,S542,9553,,,,
B,S543,9555,,,,
B,S547,9558,,,,
B,S548,9557,,,,
B,S549,9559,,,,
B,S550,9033,,,,
B,S551,9032,,,,
B,S552,9038,,,,
B,S557,9038,,,,
B,S558,9038,,,,
B,S559,9039,,,,
B,S560,84219,,,,
B,S561,84219,,,,
B,S562,8418,,,,
B,S563,84219,,,,
B,S564,84219,,,,
B,S565,8418,,,,
B,S567,8418,,,,
B,S568,8418,,,,
B,S570,92711,,,,
B,S578,92710,,,,
B,S579,92710,,,,
B,S580,8872,,,,
B,S581,8870,,,,
B,S589,8870,,,,
B,S597,9593,,,,
B,S598,9593,,,,
B,S599,9593,,,,
B,S600,9233,,,,
B,S601,9233,,,,
B,S602,92320,,,,
B,S607,9138,,,,
B,S6081,9130,,,,
B,S6082,9132,,,,
B,S6083,9134,,,,
B,S6084,9136,,,,
B,S6088,9138,,,,
B,S609,9138,,,,
B,S610,8830,,,,
B,S611,8830,,,,
B,S617,8840,,,,
B,S6180,88102,,,,
B,S6181,88102,,,,
B,S6182,88102,,,,
B,S619,88102,,,,
B,S620,81401,,,,
B,S6210,81400,,,,
B,S6211,81402,,,,
B,S6212,81403,,,,
B,S6213,81404,,,,
B,S6214,81405,,,,
B,S6215,81406,,,,
B,S6216,81407,,,,
B,S6217,81408,,,,
B,S6219,81409,,,,
B,S6220,81500,,,,
B,S6221,81501,,,,
B,S6222,81503,,,,
B,S6223,81504,,,,
B,S6224,81509,,,,
B,S6230,81500,,,,
B,S6231,81502,,,,
B,S6232,81503,,,,
B,S6233,81504,,,,
B,S6234,81509,,,,
B,S624,81509,,,,
B,S6250,81600,,,,
B,S6251,81601,,,,
B,S6252,81602,,,,
B,S6260,81600,,,,
B,S6261,81601,,,,
B,S6262,81601,,,,
B,S6263,81602,,,,
B,S627,81603,,,,
B,S628,8170,,,,
B,S6300,83300,,,,
B,S6301,83301,,,,
B,S6302,83302,,,,
B,S6303,83303,,,,
B,S6304,83304,,,,
B,S6308,83309,,,,
B,S6310,83400,,,,
B,S6311,83401,,,,
B,S6312,83402,,,,
B,S632,83400,,,,
B,S633,84201,,,,
B,S634,84212,,,,
B,S6350,84200,,,,
B,S6351,84201,,,,
B,S6352,84202,,,,
B,S6353,84211,,,,
B,S6358,84209,,,,
B,S6360,84210,,,,
B,S6361,84212,,,,
B,S6362,84213,,,,
B,S6368,84219,,,,
B,S637,84210,,,,
B,S640,9552,,,,
B,S641,9551,,,,
B,S642,9553,,,,
B,S643,9556,,,,
B,S644,9556,,,,
B,S647,9558,,,,
B,S648,9557,,,,
B,S649,9559,,,,
B,S650,9033,,,,
B,S651,9032,,,,
B,S652,9034,,,,
B,S653,9034,,,,
B,S654,9035,,,,
B,S655,9035,,,,
B,S657,9038,,,,
B,S658,9032,,,,
B,S659,9039,,,,
B,S660,84209,,,,
B,S661,84209,,,,
B,S662,84209,,,,
B,S663,84209,,,,
B,S664,84209,,,,
B,S665,84209,,,,
B,S666,84209,,,,
B,S667,84209,,,,
B,S668,84209,,,,
B,S669,84200,,,,
B,S670,9273,,,,
B,S678,92720,,,,
B,S680,8850,,,,
B,S681,8860,,,,
B,S682,8860,,,,
B,S683,8870,,,,
B,S684,8870,,,,
B,S688,8870,,,,
B,S689,8870,,,,
B,S697,9593,,,,
B,S698,9593,,,,
B,S699,9593,,,,
B,S700,92401,,,,
B,S701,92400,,,,
B,S707,9168,,,,
B,S7081,9160,,,,
B,S7082,9162,,,,
B,S7083,9164,,,,
B,S7084,9166,,,,
B,S7088,9168,,,,
B,S709,9168,,,,
B,S710,8900,,,,
B,S711,8900,,,,
B,S717,8940,,,,
B,S7180,8900,,,,
B,S7181,8900,,,,
B,S7182,8900,,,,
B,S7200,8208,,,,
B,S7201,82000,,,,
B,S7202,82001,,,,
B,S7203,82009,,,,
B,S7204,82002,,,,
B,S7205,82003,,,,
B,S7208,82009,,,,
B,S7210,82020,,,,
B,S7211,82021,,,,
B,S722,82022,,,,
B,S723,82101,,,,
B,S7240,82120,,,,
B,S7241,82121,,,,
B,S7242,82122,,,,
B,S7243,82123,,,,
B,S7244,82129,,,,
B,S727,8270,,,,
B,S728,82100,,,,
B,S729,82100,,,,
B,S7300,83500,,,,
B,S7301,83501,,,,
B,S7302,83503,,,,
B,S7308,83500,,,,
B,S7310,8439,,,,
B,S7311,8430,,,,
B,S7312,8431,,,,
B,S7318,8438,,,,
B,S740,9560,,,,
B,S741,9561,,,,
B,S742,9564,,,,
B,S747,9568,,,,
B,S748,9565,,,,
B,S749,9569,,,,
B,S750,9040,,,,
B,S751,9042,,,,
B,S752,9043,,,,
B,S757,9047,,,,
B,S758,9047,,,,
B,S759,9048,,,,
B,S760,8438,,,,
B,S761,8438,,,,
B,S762,8438,,,,
B,S763,8438,,,,
B,S764,8438,,,,
B,S767,8438,,,,
B,S770,92801,,,,
B,S771,92800,,,,
B,S772,9288,,,,
B,S780,8972,,,,
B,S781,8972,,,,
B,S789,8972,,,,
B,S797,9596,,,,
B,S798,9596,,,,
B,S799,9596,,,,
B,S800,92411,,,,
B,S801,92410,,,,
B,S807,9168,,,,
B,S8081,9160,,,,
B,S8082,9162,,,,
B,S8083,9164,,,,
B,S8084,9166,,,,
B,S8088,9168,,,,
B,S809,9168,,,,
B,S810,8910,,,,
B,S817,8910,,,,
B,S8180,8910,,,,
B,S8181,8910,,,,
B,S8182,8910,,,,
B,S819,8910,,,,
B,S820,8220,,,,
B,S8211,82302,,,,
B,S8218,82300,,,,
B,S8221,82322,,,,
B,S8228,82320,,,,
B,S8231,82382,,,,
B,S8238,8248,,,,
B,S8240,82381,,,,
B,S8241,82301,,,,
B,S8242,82321,,,,
B,S8249,82381,,,,
B,S825,8240,,,,
B,S826,8242,,,,
B,S827,8270,,,,
B,S8281,8244,,,,
B,S8282,8246,,,,
B,S8288,8248,,,,
B,S829,8270,,,,
B,S830,8363,,,,
B,S8310,83659,,,,
B,S8311,83651,,,,
B,S8312,83652,,,,
B,S8313,83653,,,,
B,S8314,83654,,,,
B,S8318,83659,,,,
B,S832,8360,,,,
B,S833,8362,,,,
B,S8340,8441,,,,
B,S8341,8440,,,,
B,S8342,8441,,,,
B,S8343,8440,,,,
B,S8344,8441,,,,
B,S8350,8442,,,,
B,S8351,8442,,,,
B,S8352,8442,,,,
B,S8353,8442,,,,
B,S8354,8442,,,,
B,S836,8448,,,,
B,S837,8362,,,,
B,S840,9562,,,,
B,S841,9563,,,,
B,S842,9564,,,,
B,S847,9568,,,,
B,S848,9565,,,,
B,S849,9569,,,,
B,S850,90441,,,,
B,S851,90451,,,,
B,S852,9047,,,,
B,S853,9043,,,,
B,S854,9043,,,,
B,S855,90442,,,,
B,S857,9047,,,,
B,S858,90440,,,,
B,S859,9048,,,,
B,S860,84509,,,,
B,S861,8448,,,,
B,S862,8448,,,,
B,S863,8448,,,,
B,S867,8448,,,,
B,S868,8448,,,,
B,S869,8448,,,,
B,S870,92811,,,,
B,S878,92810,,,,
B,S880,8972,,,,
B,S881,8970,,,,
B,S889,8974,,,,
B,S897,9597,,,,
B,S898,9597,,,,
B,S899,9597,,,,
B,S900,92421,,,,
B,S901,9243,,,,
B,S902,9243,,,,
B,S903,92420,,,,
B,S907,9168,,,,
B,S9081,9170,,,,
B,S9082,9172,,,,
B,S9083,9174,,,,
B,S9084,9176,,,,
B,S9088,9178,,,,
B,S909,9168,,,,
B,S910,8910,,,,
B,S911,8930,,,,
B,S912,8930,,,,
B,S913,8920,,,,
B,S917,8940,,,,
B,S9181,8920,,,,
B,S9182,8920,,,,
B,S920,8250,,,,
B,S921,82521,,,,
B,S9220,82529,,,,
B,S9221,82522,,,,
B,S9222,82523,,,,
B,S9223,82524,,,,
B,S9228,82529,,,,
B,S923,82525,,,,
B,S924,8260,,,,
B,S925,8260,,,,
B,S927,82529,,,,
B,S929,82520,,,,
B,S930,8370,,,,
B,S9310,83809,,,,
B,S9311,83805,,,,
B,S9312,83806,,,,
B,S932,84500,,,,
B,S9330,83800,,,,
B,S9331,83801,,,,
B,S9332,83802,,,,
B,S9333,83803,,,,
B,S9334,83804,,,,
B,S9338,83809,,,,
B,S9340,84500,,,,
B,S9341,84501,,,,
B,S9342,84502,,,,
B,S9343,84503,,,,
B,S9348,84509,,,,
B,S935,84510,,,,
B,S936,84519,,,,
B,S940,9565,,,,
B,S941,9565,,,,
B,S942,9563,,,,
B,S943,9564,,,,
B,S947,9568,,,,
B,S948,9565,,,,
B,S949,9569,,,,
B,S950,9047,,,,
B,S951,9046,,,,
B,S952,9047,,,,
B,S957,9047,,,,
B,S958,9047,,,,
B,S959,9048,,,,
B,S960,84519,,,,
B,S961,84519,,,,
B,S962,84519,,,,
B,S967,84519,,,,
B,S968,84519,,,,
B,S969,84500,,,,
B,S970,92821,,,,
B,S971,9283,,,,
B,S978,92820,,,,
B,S980,8960,,,,
B,S981,8950,,,,
B,S982,8950,,,,
B,S983,8960,,,,
B,S984,8960,,,,
B,S997,9597,,,,
B,S998,9597,,,,
B,S999,9597,,,,
B,T000,9198,,,,
B,T001,9198,,,,
B,T002,9198,,,,
B,T003,9198,,,,
B,T006,9198,,,,
B,T008,9198,,,,
B,T009,9198,,,,
B,T010,8798,,,,
B,T011,8798,,,,
B,T012,8840,,,,
B,T013,8940,,,,
B,T016,8840,,,,
B,T018,8798,,,,
B,T019,8798,,,,
B,T0200,80400,,,,
B,T0201,80450,,,,
B,T0210,8090,,,,
B,T0211,8091,,,,
B,T0220,8180,,,,
B,T0221,8181,,,,
B,T0230,8270,,,,
B,T0231,8271,,,,
B,T0240,8190,,,,
B,T0241,8191,,,,
B,T0250,8280,,,,
B,T0251,8281,,,,
B,T0260,8280,,,,
B,T0261,8281,,,,
B,T0270,8190,,,,
B,T0271,8191,,,,
B,T0280,8290,,,,
B,T0281,8291,,,,
B,T0290,8290,,,,
B,T0291,8291,,,,
B,T030,8398,,,,
B,T031,8398,,,,
B,T032,8398,,,,
B,T033,8398,,,,
B,T034,8398,,,,
B,T038,8398,,,,
B,T039,8398,,,,
B,T040,9251,,,,
B,T041,9268,,,,
B,T042,9278,,,,
B,T043,9288,,,,
B,T044,9290,,,,
B,T047,9290,,,,
B,T048,9290,,,,
B,T049,9299,,,,
B,T050,8876,,,,
B,T051,8876,,,,
B,T052,8876,,,,
B,T053,8962,,,,
B,T054,8976,,,,
B,T055,8976,,,,
B,T056,8976,,,,
B,T058,8796,,,,
B,T059,8798,,,,
B,T060,9529,,,,
B,T061,9528,,,,
B,T062,9578,,,,
B,T063,9049,,,,
B,T064,8488,,,,
B,T065,8690,,,,
B,T068,9598,,,,
B,T07,9599,,,,
B,T080,8058,,,,
B,T081,8059,,,,
B,T0900,9118,,,,
B,T0901,9110,,,,
B,T0902,9112,,,,
B,T0903,9114,,,,
B,T0904,9116,,,,
B,T0905,9229,,,,
B,T0908,9118,,,,
B,T091,8796,,,,
B,T092,8479,,,,
B,T093,9529,,,,
B,T094,9539,,,,
B,T095,8489,,,,
B,T096,8796,,,,
B,T098,9591,,,,
B,T099,9591,,,,
B,T100,8180,,,,
B,T101,8181,,,,
B,T1100,9198,,,,
B,T1101,9190,,,,
B,T1102,9192,,,,
B,T1103,9194,,,,
B,T1104,9196,,,,
B,T1105,9239,,,,
B,T1108,9198,,,,
B,T111,8840,,,,
B,T112,8398,,,,
B,T113,9559,,,,
B,T114,9039,,,,
B,T115,8409,,,,
B,T116,8874,,,,
B,T118,9592,,,,
B,T119,9592,,,,
B,T120,8270,,,,
B,T121,8271,,,,
B,T1300,9198,,,,
B,T1301,9190,,,,
B,T1302,9192,,,,
B,T1303,9194,,,,
B,T1304,9196,,,,
B,T1305,9245,,,,
B,T1308,9198,,,,
B,T131,8910,,,,
B,T132,8398,,,,
B,T133,9569,,,,
B,T134,9048,,,,
B,T135,8449,,,,
B,T136,8974,,,,
B,T138,9597,,,,
B,T139,9597,,,,
B,T1400,9198,,,,
B,T1401,9190,,,,
B,T1402,9192,,,,
B,T1403,9194,,,,
B,T1404,9196,,,,
B,T1405,9249,,,,
B,T1408,9198,,,,
B,T141,8798,,,,
B,T1420,8290,,,,
B,T1421,8291,,,,
B,T143,8398,,,,
B,T144,9579,,,,
B,T145,9049,,,,
B,T146,8489,,,,
B,T147,9299,,,,
B,T148,9598,,,,
B,T149,9599,,,,
B,T150,9300,,,,
B,T151,9301,,,,
B,T158,9302,,,,
B,T159,9309,,,,
B,T16,931,,,,
B,T170,932,,,,
B,T171,932,,,,
B,T172,9330,,,,
B,T173,9331,,,,
B,T174,9340,,,,
B,T175,9341,,,,
B,T178,9348,,,,
B,T179,9349,,,,
B,T180,9350,,,,
B,T181,9351,,,,
B,T182,9352,,,,
B,T183,936,,,,
B,T184,936,,,,
B,T185,937,,,,
B,T188,938,,,,
B,T189,938,,,,
B,T190,9390,,,,
B,T191,9390,,,,
B,T192,9392,,,,
B,T193,9391,,,,
B,T198,9399,,,,
B,T199,9399,,,,
B,T200,94100,,,,
B,T201,94110,,,,
B,T202,94120,,,,
B,T203,94130,,,,
B,T2100,94200,,,,
B,T2101,94201,,,,
B,T2102,94202,,,,
B,T2103,94203,,,,
B,T2104,94204,,,,
B,T2105,94205,,,,
B,T2109,94209,,,,
B,T2110,94210,,,,
B,T2111,94211,,,,
B,T2112,94212,,,,
B,T2113,94213,,,,
B,T2114,94214,,,,
B,T2115,94215,,,,
B,T2119,94219,,,,
B,T2120,94220,,,,
B,T2121,94221,,,,
B,T2122,94222,,,,
B,T2123,94223,,,,
B,T2124,94224,,,,
B,T2125,94225,,,,
B,T2129,94229,,,,
B,T2130,94230,,,,
B,T2131,94231,,,,
B,T2132,94232,,,,
B,T2133,94233,,,,
B,T2134,94234,,,,
B,T2135,94235,,,,
B,T2139,94239,,,,
B,T2200,94300,,,,
B,T2201,94301,,,,
B,T2202,94303,,,,
B,T2210,94310,,,,
B,T2211,94311,,,,
B,T2212,94313,,,,
B,T2220,94320,,,,
B,T2221,94321,,,,
B,T2222,94323,,,,
B,T2230,94330,,,,
B,T2231,94331,,,,
B,T2232,94333,,,,
B,T230,94400,,,,
B,T231,94410,,,,
B,T232,94420,,,,
B,T233,94430,,,,
B,T240,94500,,,,
B,T241,94510,,,,
B,T242,94520,,,,
B,T243,94530,,,,
B,T250,94501,,,,
B,T251,94511,,,,
B,T252,94521,,,,
B,T253,94531,,,,
B,T260,9401,,,,
B,T261,9404,,,,
B,T262,9405,,,,
B,T263,9409,,,,
B,T264,9409,,,,
B,T270,9471,,,,
B,T271,9471,,,,
B,T272,9478,,,,
B,T273,9478,,,,
B,T280,9470,,,,
B,T281,9472,,,,
B,T282,9473,,,,
B,T283,9478,,,,
B,T284,9478,,,,
B,T290,9460,,,,
B,T291,9461,,,,
B,T292,9462,,,,
B,T293,9463,,,,
B,T300,9490,,,,
B,T301,9491,,,,
B,T302,9492,,,,
B,T303,9493,,,,
B,T3100,94800,,,,
B,T3110,94810,,,,
B,T3111,94811,,,,
B,T3120,94820,,,,
B,T3121,94821,,,,
B,T3122,94822,,,,
B,T3130,94830,,,,
B,T3131,94831,,,,
B,T3132,94832,,,,
B,T3133,94833,,,,
B,T3140,94840,,,,
B,T3141,94841,,,,
B,T3142,94842,,,,
B,T3143,94843,,,,
B,T3144,94844,,,,
B,T3150,94850,,,,
B,T3151,94851,,,,
B,T3152,94852,,,,
B,T3153,94853,,,,
B,T3154,94854,,,,
B,T3155,94855,,,,
B,T3160,94860,,,,
B,T3161,94861,,,,
B,T3162,94862,,,,
B,T3163,94862,,,,
B,T3164,94864,,,,
B,T3165,94865,,,,
