TABLETYP,ICD10,Pure Victorian Logical,,,,
A,A568,09959,,,,
A,A57,0990,,,,
A,A58,0992,,,,
A,A590,13100,,,,
A,A598,1318,,,,
A,A599,1319,,,,
A,A600,05410,,,,
A,A601,05419,,,,
A,A609,05419,,,,
A,A630,07819,,,,
A,A638,0998,,,,
A,A64,0999,,,,
A,A65,1040,,,,
A,A660,1020,,,,
A,A661,1021,,,,
A,A662,1022,,,,
A,A663,1023,,,,
A,A664,1024,,,,
A,A665,1025,,,,
A,A666,1026,,,,
A,A667,1027,,,,
A,A668,1028,,,,
A,A669,1029,,,,
A,A670,1030,,,,
A,A671,1031,,,,
A,A672,1032,,,,
A,A673,1033,,,,
A,A679,1039,,,,
A,A680,0870,,,,
A,A681,0871,,,,
A,A689,0879,,,,
A,A690,101,,,,
A,A691,101,,,,
A,A692,08881,,,,
A,A698,1048,,,,
A,A699,1049,,,,
A,A70,0739,,,,
A,A710,0760,,,,
A,A711,0761,,,,
A,A719,0769,,,,
A,A740,07798,,,,
A,A748,07888,,,,
A,A749,07998,,,,
A,A750,080,,,,
A,A751,0811,,,,
A,A752,0810,,,,
A,A753,0812,,,,
A,A759,0819,,,,
A,A770,0820,,,,
A,A771,0821,,,,
A,A772,0822,,,,
A,A773,0823,,,,
A,A778,0828,,,,
A,A779,0829,,,,
A,A78,0830,,,,
A,A790,0831,,,,
A,A791,0832,,,,
A,A798,0838,,,,
A,A799,0839,,,,
A,A800,04510,,,,
A,A801,04510,,,,
A,A802,04510,,,,
A,A803,04510,,,,
A,A804,04520,,,,
A,A809,04590,,,,
A,A810,0461,,,,
A,A811,0462,,,,
A,A812,0463,,,,
A,A818,0468,,,,
A,A819,0469,,,,
A,A820,071,,,,
A,A821,071,,,,
A,A829,071,,,,
A,A830,0620,,,,
A,A831,0621,,,,
A,A832,0622,,,,
A,A833,0623,,,,
A,A834,0624,,,,
A,A835,0625,,,,
A,A836,0628,,,,
A,A838,0628,,,,
A,A839,0629,,,,
A,A840,0630,,,,
A,A841,0632,,,,
A,A848,0638,,,,
A,A849,0639,,,,
A,A850,0498,,,,
A,A851,0498,,,,
A,A852,064,,,,
A,A858,0498,,,,
A,A86,0499,,,,
A,A870,0470,,,,
A,A871,0491,,,,
A,A872,0490,,,,
A,A878,0478,,,,
A,A879,0479,,,,
A,A880,048,,,,
A,A881,07881,,,,
A,A888,0498,,,,
A,A89,0499,,,,
A,A90,061,,,,
A,A91,0654,,,,
A,A920,0654,,,,
A,A921,0663,,,,
A,A922,0662,,,,
A,A923,0663,,,,
A,A924,0663,,,,
A,A928,0663,,,,
A,A929,0663,,,,
A,A930,0663,,,,
A,A931,0660,,,,
A,A932,0661,,,,
A,A938,0668,,,,
A,A94,0669,,,,
A,A950,0600,,,,
A,A951,0601,,,,
A,A959,0609,,,,
A,A960,0787,,,,
A,A961,0787,,,,
A,A962,07889,,,,
A,A968,0787,,,,
A,A969,0787,,,,
A,A980,0650,,,,
A,A981,0651,,,,
A,A982,0652,,,,
A,A983,07889,,,,
A,A984,0658,,,,
A,A985,0786,,,,
A,A988,0658,,,,
A,A99,0659,,,,
A,B000,0540,,,,
A,B001,05479,,,,
A,B002,0542,,,,
A,B003,05472,,,,
A,B004,0543,,,,
A,B005,05440,,,,
A,B007,0545,,,,
A,B008,05479,,,,
A,B009,0549,,,,
A,B010,0527,,,,
A,B011,0520,,,,
A,B012,0521,,,,
A,B018,0527,,,,
A,B019,0529,,,,
A,B020,05319,,,,
A,B021,0530,,,,
A,B022,05319,,,,
A,B023,05329,,,,
A,B027,05379,,,,
A,B028,05379,,,,
A,B029,0539,,,,
A,B03,0509,,,,
A,B04,0578,,,,
A,B050,0550,,,,
A,B051,05579,,,,
A,B052,0551,,,,
A,B053,0552,,,,
A,B054,05579,,,,
A,B058,05579,,,,
A,B059,0559,,,,
A,B060,05600,,,,
A,B068,05679,,,,
A,B069,0569,,,,
A,B07,07810,,,,
A,B080,0510,,,,
A,B081,0780,,,,
A,B082,0578,,,,
A,B083,0570,,,,
A,B084,0743,,,,
A,B085,0740,,,,
A,B088,0578,,,,
A,B09,0579,,,,
A,B150,0700,,,,
A,B159,0701,,,,
A,B160,07021,,,,
A,B161,07031,,,,
A,B162,07020,,,,
A,B169,07030,,,,
A,B170,07052,,,,
A,B171,07051,,,,
A,B172,07053,,,,
A,B178,07059,,,,
A,B180,07033,,,,
A,B181,07032,,,,
A,B182,07054,,,,
A,B188,07059,,,,
A,B189,0706,,,,
A,B190,0706,,,,
A,B199,0709,,,,
A,B20,042,,,,
A,B21,042,,,,
A,B22,042,,,,
A,B230,042,,,,
A,B238,042,,,,
A,B24,042,,,,
A,B250,0785,,,,
A,B251,0785,,,,
A,B252,0785,,,,
A,B258,0785,,,,
A,B259,0785,,,,
A,B260,0720,,,,
A,B261,0721,,,,
A,B262,0722,,,,
A,B263,0723,,,,
A,B268,07279,,,,
A,B269,0729,,,,
A,B270,075,,,,
A,B271,075,,,,
A,B278,075,,,,
A,B279,075,,,,
A,B300,0771,,,,
A,B301,0773,,,,
A,B302,0772,,,,
A,B303,0774,,,,
A,B308,0778,,,,
A,B309,07799,,,,
A,B330,0741,,,,
A,B331,0663,,,,
A,B332,07420,,,,
A,B333,07950,,,,
A,B338,07989,,,,
A,B340,0790,,,,
A,B341,07989,,,,
A,B342,07989,,,,
A,B343,07989,,,,
A,B344,07999,,,,
A,B348,07989,,,,
A,B349,07999,,,,
A,B350,1100,,,,
A,B351,1101,,,,
A,B352,1102,,,,
A,B353,1104,,,,
A,B354,1105,,,,
A,B355,1105,,,,
A,B356,1103,,,,
A,B358,1108,,,,
A,B359,1109,,,,
A,B360,1110,,,,
A,B361,1111,,,,
A,B362,1112,,,,
A,B363,1113,,,,
A,B368,1118,,,,
A,B369,1119,,,,
A,B370,1120,,,,
A,B371,1124,,,,
A,B372,1123,,,,
A,B373,1121,,,,
A,B374,1122,,,,
A,B375,11283,,,,
A,B376,11281,,,,
A,B377,1125,,,,
A,B3781,11284,,,,
A,B3788,11289,,,,
A,B379,1129,,,,
A,B380,1140,,,,
A,B381,1144,,,,
A,B382,1145,,,,
A,B383,1141,,,,
A,B384,1142,,,,
A,B387,1143,,,,
A,B388,1143,,,,
A,B389,1149,,,,
A,B390,11505,,,,
A,B391,11505,,,,
A,B392,11505,,,,
A,B393,11509,,,,
A,B394,11500,,,,
A,B395,11510,,,,
A,B399,11590,,,,
A,B400,1160,,,,
A,B401,1160,,,,
A,B402,1160,,,,
A,B403,1160,,,,
A,B407,1160,,,,
A,B408,1160,,,,
A,B409,1160,,,,
A,B410,1161,,,,
A,B417,1161,,,,
A,B418,1161,,,,
A,B419,1161,,,,
A,B420,1171,,,,
A,B421,1171,,,,
A,B427,1171,,,,
A,B428,1171,,,,
A,B429,1171,,,,
A,B430,1172,,,,
A,B431,1178,,,,
A,B432,1178,,,,
A,B438,1172,,,,
A,B439,1172,,,,
A,B440,1173,,,,
A,B441,1173,,,,
A,B442,1173,,,,
A,B447,1173,,,,
A,B448,1173,,,,
A,B449,1173,,,,
A,B450,1175,,,,
A,B451,1175,,,,
A,B452,1175,,,,
A,B453,1175,,,,
A,B457,1175,,,,
A,B458,1175,,,,
A,B459,1175,,,,
A,B460,1177,,,,
A,B461,1177,,,,
A,B462,1177,,,,
A,B463,1177,,,,
A,B464,1177,,,,
A,B465,1177,,,,
A,B468,1177,,,,
A,B469,1177,,,,
A,B470,1174,,,,
A,B471,0399,,,,
A,B479,0399,,,,
A,B480,1162,,,,
A,B481,1170,,,,
A,B482,1176,,,,
A,B483,1179,,,,
A,B484,1179,,,,
A,B487,118,,,,
A,B488,1179,,,,
